frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
437,12,[0.847686767578125 355.5852966308594 500.08135986328125 876.3869018554688],[183.204345703125 692.3989868164062 376.2173767089844 758.0584106445312],0.6197664141654968,MP17CC7221;,0.2862908740638566
438,12,[2.9690093994140625 351.9166259765625 456.8258972167969 876.8846435546875],[132.38751220703125 693.4136962890625 326.9452209472656 759.5997314453125],0.6314405202865601,MP17CC7221,0.6197723708956163
439,12,[0.432769775390625 354.6378479003906 411.0528564453125 881.9752197265625],[71.40296173095703 692.381591796875 283.6575012207031 767.0556640625],0.5274990797042847,HP17CC7221,,0.9320555967202658
440,12,[2.620342254638672 356.7623291015625 365.5074462890625 886.7525634765625],[29.136268615722656 698.4746704101562 232.335205078125 766.27587890625],0.5508126616477966,MP17CC7221,,0.42809605956903873
441,12,[2.40582275390625 353.85296630859375 320.57135009765625 888.8889770507812],[3.7298412322998047 696.2334594726562 182.65353393554688 768.0082397460938],0.5858443379402161,IP17CC7221|,0.5904072208415303
476,13,[0.0 388.1363525390625 652.690673828125 904.4859008789062],[383.86358642578125 733.562744140625 541.5003662109375 800.14208984375],0.7231655120849609,RJQZCE;=,0.05731298978273622
477,13,[0.0 379.238525390625 622.811767578125 906.8527221679688],[350.49700927734375 732.424560546875 511.17791748046875 798.0819091796875],0.7017326354980469,RJOZCZSI',0.17155822477618984
478,13,[0.0 376.2008056640625 590.8504638671875 906.8095703125],[308.2032165527344 732.053466796875 476.92803955078125 796.2509765625],0.6752285957336426,RJCZCESI_,0.08333858163299136
480,13,[0.0 370.295654296875 527.0726318359375 896.1290283203125],[234.9408416748047 732.5501708984375 404.0147705078125 798.1383056640625],0.6718664169311523,RJO2CE614,0.24847403525933245
481,13,[0.45172119140625 369.61669921875 495.6459045410156 892.9417724609375],[192.71209716796875 730.0279541015625 372.11431884765625 799.3687133789062],0.6611313223838806,RJOZCE61LUN,0.0612237348659245
482,13,[0.5390167236328125 366.1387023925781 462.316162109375 895.638427734375],[153.28262329101562 730.1823120117188 334.64764404296875 800.6904296875],0.6727792620658875,RJOZCE61LI,0.444424291117782
483,13,[0.68426513671875 367.0789489746094 426.4266357421875 895.455078125],[107.65290069580078 728.6444091796875 297.8269348144531 801.8536376953125],0.6972184777259827,RJOZCET4I,0.07418643221983683
