frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
395,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[897.6688232421875 673.08447265625 972.633056640625 719.7056274414062],0.3469465374946594,Invalid plate structure,0.07475577671543629
396,7,[2.769195556640625 356.88629150390625 504.63739013671875 873.0250854492188],[296.4827880859375 698.4891357421875 425.4453125 765.0909423828125],0.660233736038208,Invalid plate structure,0.13264328605603323
396,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[916.099365234375 665.3348388671875 1003.58056640625 720.6864624023438],0.40801599621772766,Invalid state code,0.18407811306321126
397,7,[3.637939453125 349.5546569824219 516.935546875 871.1290283203125],[307.93670654296875 693.8271484375 442.22113037109375 762.498779296875],0.6519705653190613,Invalid plate structure,0.263946257879469
397,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[942.183837890625 663.26904296875 1032.890625 714.7923583984375],0.3422842025756836,Invalid plate structure,0.113013762818582
398,7,[3.6394500732421875 348.1187438964844 530.78564453125 872.722412109375],[314.23291015625 691.5198974609375 455.39697265625 761.27685546875],0.6570417284965515,Invalid plate structure,0.09129644746931939
399,7,[3.860504150390625 344.3242492675781 523.5430908203125 871.2401123046875],[301.106689453125 689.3414306640625 445.5999755859375 761.1226806640625],0.656628429889679,Invalid plate structure,0.10547441842885878
400,7,[3.430572509765625 336.9609375 539.286865234375 868.8242797851562],[307.1819152832031 684.37158203125 453.78240966796875 758.204833984375],0.6669170260429382,Invalid plate structure,0.33434097597891493
400,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[985.3884887695312 648.6708984375 1075.06884765625 698.48291015625],0.26585039496421814,Invalid plate structure,0.526894510634853
401,7,[2.678375244140625 335.8620300292969 564.78564453125 869.1593017578125],[328.208984375 680.8104858398438 472.1842041015625 752.639404296875],0.6822727918624878,Invalid plate structure,0.26781878194635955
401,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[1017.7831420898438 645.8753662109375 1077.5087890625 692.0733642578125],0.36273375153541565,Invalid plate structure,0.1631950053042631
402,7,[0.263763427734375 335.52923583984375 592.1268920898438 868.472412109375],[354.2124938964844 678.9450073242188 500.5205383300781 749.2410888671875],0.6950078010559082,RJ01CD9741,0.20736203666904188
403,7,[1.1927947998046875 334.2548828125 626.6595458984375 868.9876708984375],[384.4931945800781 677.6358642578125 531.3719482421875 748.34716796875],0.7112562656402588,Invalid plate structure,0.08166965596633619
404,7,[0.0 329.8474426269531 668.4661865234375 868.4813232421875],[420.6869201660156 670.1870727539062 575.2525634765625 747.9451904296875],0.6616820693016052,Invalid plate structure,0.1473442419052115
405,7,[0.0 330.8442077636719 694.8280029296875 867.9512329101562],[445.9602355957031 670.016845703125 598.1109008789062 741.0523681640625],0.6984903812408447,Invalid plate structure,0.2332147459817085
406,7,[0.0 326.723876953125 708.0814208984375 865.844970703125],[447.2778625488281 667.8195190429688 607.9278564453125 741.0418701171875],0.6985098719596863,Invalid plate structure,0.2064055384499572
407,7,[0.0 321.5710144042969 704.7178344726562 865.935791015625],[439.40570068359375 666.3275146484375 598.3518676757812 740.2398681640625],0.6854549646377563,Invalid plate structure,0.6298842155234582
408,7,[1.8122406005859375 318.17138671875 683.3172607421875 867.6070556640625],[416.0201110839844 667.2449951171875 577.8641357421875 740.2003173828125],0.687286376953125,Invalid plate structure,0.7690847427353259
409,7,[1.812744140625 318.2623596191406 661.8558349609375 873.3788452148438],[380.8301696777344 664.293701171875 547.1346435546875 740.245361328125],0.7113192677497864,Invalid plate structure,0.20662921325421033
410,7,[1.0923614501953125 314.8140563964844 624.7691040039062 872.8758544921875],[339.2484130859375 667.7601928710938 515.1536254882812 746.861572265625],0.6935753226280212,Invalid plate structure,0.5350739507058032
411,7,[0.5174102783203125 314.7645263671875 592.1737060546875 876.2332763671875],[301.29180908203125 670.84326171875 478.2791748046875 748.6019287109375],0.6756041049957275,Invalid plate structure,0.7283315622039378
412,7,[0.0 316.8439636230469 556.774658203125 823.47998046875],[256.58868408203125 673.2027587890625 438.92022705078125 751.254150390625],0.6892653703689575,RJ01CD9741,0.28377508282086394
413,7,[0.0 315.3955383300781 516.176025390625 824.761962890625],[205.70050048828125 679.9259643554688 395.2196960449219 756.6983032226562],0.7037427425384521,RJ01CD9741,0.4280169173167641
414,7,[1.307281494140625 317.07928466796875 476.5631103515625 832.3804931640625],[162.55641174316406 682.5548095703125 350.062255859375 757.8699951171875],0.7069219946861267,Invalid plate structure,0.2687501887051268
415,7,[1.719451904296875 315.248291015625 439.53204345703125 835.5382690429688],[115.17222595214844 687.7952880859375 309.5343017578125 765.35986328125],0.6778581738471985,Invalid plate structure,0.2346982336317968
416,7,[1.537445068359375 317.3123474121094 396.24951171875 838.1763916015625],[69.81818389892578 690.11328125 265.907470703125 768.64111328125],0.6765806078910828,Invalid plate structure,0.39745776548068695
417,7,[2.7852630615234375 320.455078125 361.07940673828125 841.7056884765625],[27.889892578125 692.0780029296875 226.3555908203125 776.0098876953125],0.6916234493255615,Invalid plate structure,0.21755894436731832
418,7,[3.558666229248047 323.2303161621094 322.1018371582031 844.4452514648438],[7.01861572265625 699.7450561523438 180.29127502441406 771.2646484375],0.6519291996955872,RJ01CD9741,0.41085745439717264
418,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[939.039794921875 628.3782348632812 1077.2283935546875 696.9268798828125],0.5974255204200745,MP17CC7229,0.40629227551524
419,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[911.9700927734375 639.8384399414062 1050.87255859375 700.9605102539062],0.6368353962898254,Invalid plate structure,0.18190010904198722
419,7,[3.4874038696289062 316.6274719238281 284.6770324707031 849.479736328125],[6.463399887084961 702.4962158203125 133.95465087890625 768.9566650390625],0.6135074496269226,Invalid plate structure,0.9448570171736199
420,7,[2.4407272338867188 323.1582946777344 239.2833251953125 853.5234375],[5.421283721923828 706.0771484375 85.5541763305664 768.3425903320312],0.6393548250198364,Invalid plate structure,0.6751243023055671
420,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[883.9229736328125 639.7205810546875 1029.533203125 705.9536743164062],0.6200535893440247,Invalid plate structure,0.22300695672437607
421,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[853.2288208007812 642.3217163085938 1001.7562866210938 706.4445190429688],0.641433596611023,MP17CC7221,0.5183180605224158
422,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[821.180419921875 648.8392333984375 968.848388671875 706.8112182617188],0.6295366287231445,Invalid plate structure,0.16509819526386568
423,11,[610.8809814453125 473.8039855957031 1076.6961669921875 809.5858154296875],[789.9570922851562 655.2578735351562 932.2692260742188 717.0026245117188],0.6781271696090698,Invalid plate structure,0.44634639427645734
424,11,[610.8809814453125 473.8039855957031 1076.6961669921875 809.5858154296875],[755.7306518554688 654.5487060546875 908.8767700195312 718.7781982421875],0.663483738899231,Invalid plate structure,0.25826023477675275
425,12,[271.50146484375 366.8204040527344 962.8458251953125 846.1034545898438],[721.1982421875 658.6347045898438 868.707275390625 718.3640747070312],0.6615699529647827,HP17CC7221,0.6743959247640992
426,12,[236.58892822265625 366.52880859375 934.2866821289062 847.9216918945312],[684.9801025390625 661.1583251953125 836.4775390625 723.8182983398438],0.6693755984306335,Invalid plate structure,0.40035892121271305
427,12,[202.58084106445312 364.8116760253906 900.220458984375 853.3727416992188],[646.3040771484375 665.9083862304688 798.6444091796875 724.1340942382812],0.6361915469169617,Invalid plate structure,0.24842888124167975
428,12,[174.33956909179688 365.7176513671875 859.48486328125 857.42138671875],[600.8410034179688 668.29638671875 762.5899658203125 729.5967407226562],0.6178943514823914,MP17CC7221,0.6180673353191093
429,12,[139.97671508789062 365.3707580566406 824.8368530273438 858.4963989257812],[563.767333984375 669.2957153320312 721.9044189453125 731.2842407226562],0.6462441682815552,Invalid plate structure,0.5139108226643199
430,12,[100.58404541015625 363.9612121582031 786.7014770507812 861.8424072265625],[518.229736328125 672.4260864257812 680.4342041015625 737.67626953125],0.6168053150177002,Invalid plate structure,0.11309395882327225
431,12,[63.81317138671875 361.603271484375 748.502685546875 866.0325927734375],[469.3812561035156 669.8313598632812 643.0106201171875 741.921142578125],0.6434658169746399,HP17CC7221,0.7416771014583565
432,12,[28.664588928222656 362.14947509765625 707.5616455078125 875.1434326171875],[423.42645263671875 675.0955810546875 601.6029052734375 748.7649536132812],0.6544893980026245,HP17CC7221,0.8631900688955734
433,12,[0.17156982421875 363.90216064453125 664.7642822265625 879.7640991210938],[375.3056945800781 676.090087890625 558.8834228515625 753.093505859375],0.6791512370109558,Invalid plate structure,0.4007644697038349
434,12,[3.027191162109375 364.7132873535156 627.729248046875 885.1373291015625],[330.16534423828125 685.9197998046875 512.076904296875 756.679443359375],0.6993743777275085,HP17CC7221,0.9296177090639971
435,12,[0.0 360.9164123535156 584.1922607421875 889.8213500976562],[279.4003601074219 688.9531860351562 471.3906555175781 762.1414794921875],0.6114640235900879,Invalid plate structure,0.49497070968452483
436,12,[0.0771331787109375 357.3324279785156 543.589111328125 892.2280883789062],[231.65203857421875 692.8419189453125 423.79852294921875 756.16748046875],0.6084827184677124,Invalid plate structure,0.4609571798050072
437,12,[0.847686767578125 355.5852966308594 500.08135986328125 876.3869018554688],[183.204345703125 692.3989868164062 376.2173767089844 758.0584106445312],0.6197664141654968,MP17CC7221,0.575290828027137
438,12,[2.9690093994140625 351.9166259765625 456.8258972167969 876.8846435546875],[132.38751220703125 693.4136962890625 326.9452209472656 759.5997314453125],0.6314405202865601,MP17CC7221,0.8439130174865311
439,12,[0.432769775390625 354.6378479003906 411.0528564453125 881.9752197265625],[71.40296173095703 692.381591796875 283.6575012207031 767.0556640625],0.5274990797042847,MP17CC7221,0.8392903308033174
440,12,[2.620342254638672 356.7623291015625 365.5074462890625 886.7525634765625],[29.136268615722656 698.4746704101562 232.335205078125 766.27587890625],0.5508126616477966,Invalid plate structure,0.30771483667914595
441,12,[2.40582275390625 353.85296630859375 320.57135009765625 888.8889770507812],[3.7298412322998047 696.2334594726562 182.65353393554688 768.0082397460938],0.5858443379402161,Invalid plate structure,0.3908284465011769
442,12,[1.95703125 352.5480651855469 275.09356689453125 888.0243530273438],[8.439674377441406 702.1688232421875 128.36300659179688 763.4189453125],0.4427950978279114,Invalid plate structure,0.2560229230342794
443,12,[2.5220489501953125 367.5494079589844 227.1057586669922 888.506103515625],[3.2908172607421875 698.7327880859375 79.58016967773438 763.6441040039062],0.3115657567977905,Invalid plate structure,0.5270060530354143
457,13,[375.2060852050781 432.402099609375 1080.0 856.4713134765625],[958.7940673828125 713.63916015625 1068.615966796875 768.7396240234375],0.6534053683280945,Invalid plate structure,0.06166195550058339
458,13,[349.73931884765625 427.1091613769531 1080.0 858.5560913085938],[930.1646118164062 716.2471923828125 1041.47265625 773.52880859375],0.6880604028701782,Invalid plate structure,0.10981628575552298
